天气之子,"
类型:
              爱情／动画／奇幻
            ","
主演:
              醍醐虎汰朗／森七菜／本田翼
            ","
上映时间:
              2019-11-01
            "
误杀,"
类型:
              剧情／犯罪
            ","
主演:
              肖央／谭卓／陈冲
            ","
上映时间:
              2019-12-13
            "
唐人街探案2,"
类型:
              喜剧／动作／悬疑
            ","
主演:
              王宝强／刘昊然／肖央
            ","
上映时间:
              2018-02-16
            "
哪吒之魔童降世,"
类型:
              动画／喜剧／奇幻
            ","
主演:
              吕艳婷／囧森瑟夫／瀚墨
            ","
上映时间:
              2019-07-26
            "
少年的你,"
类型:
              爱情／青春／剧情
            ","
主演:
              周冬雨／易烊千玺／尹昉
            ","
上映时间:
              2019-10-25
            "
毒液2,"
类型:
              动作／科幻／惊悚／恐怖
            ","
主演:
              汤姆·哈迪／伍迪·哈里森／娜奥米·哈里斯
            ","
上映时间:
              2020-06-25
            "
哥斯拉2：怪兽之王,"
类型:
              科幻／灾难／动作
            ","
主演:
              凯尔·钱德勒／维拉·法梅加／米莉·波比·布朗
            ","
上映时间:
              2019-05-31
            "
战狼2,"
类型:
              动作／战争
            ","
主演:
              吴京／弗兰克·格里罗／吴刚
            ","
上映时间:
              2017-07-27
            "
恐怖电影院2,"
类型:
              恐怖／惊悚
            ","
主演:
              殷果儿／刘小奇／闫薇儿
            ","
上映时间:
              2017-10-20
            "
复仇者联盟4：终局之战,"
类型:
              动作／冒险／奇幻
            ","
主演:
              小罗伯特·唐尼／克里斯·埃文斯／马克·鲁法洛
            ","
上映时间:
              2019-04-24
            "
